H,S,V,class
13,125,59,branco
12,108,71,branco
13,120,70,branco
10,114,87,branco
10,97,110,branco
12,97,116,branco
11,109,110,branco
12,116,112,branco
13,124,111,branco
12,132,110,branco
13,137,110,branco
13,144,110,branco
12,146,110,branco
12,151,110,branco
12,153,108,branco
11,154,109,branco
11,152,111,branco
10,146,115,branco
10,149,116,branco
10,152,114,branco
11,160,110,branco
11,166,106,branco
11,169,104,branco
11,168,105,branco
11,164,107,branco
11,163,108,branco
11,171,103,branco
11,173,102,branco
11,161,109,branco
10,165,105,branco
10,167,104,branco
10,168,103,branco
10,170,102,branco
10,177,98,branco
10,184,94,branco
10,183,95,branco
10,173,100,branco
10,172,101,branco
10,168,105,branco
10,169,104,branco
10,166,106,branco
10,160,110,branco
10,164,107,branco
10,174,101,branco
10,180,98,branco
11,178,99,branco
11,159,111,branco
10,179,97,branco
10,181,96,branco
10,175,99,branco
13,119,62,branco
12,105,73,branco
11,117,76,branco
10,101,106,branco
11,103,111,branco
11,113,106,branco
12,135,108,branco
13,138,109,branco
10,156,111,branco
10,155,112,branco
9,149,115,branco
10,150,117,branco
10,153,113,branco
10,164,106,branco
10,163,108,branco
10,173,102,branco
10,176,100,branco
11,180,98,branco
10,174,94,branco
10,171,94,branco
10,164,95,branco
10,165,94,branco
9,165,91,branco
10,167,87,branco
9,166,86,branco
10,163,86,branco
9,156,85,branco
9,149,82,branco
9,151,81,branco
9,147,78,branco
9,151,76,branco
10,152,72,branco
10,154,71,branco
8,156,67,branco
8,149,70,branco
8,148,74,branco
9,155,74,branco
8,159,74,branco
8,168,76,branco
9,167,81,branco
10,165,85,branco
10,163,89,branco
10,167,93,branco
10,168,97,branco
10,165,99,branco
10,177,101,branco
11,170,99,branco
9,177,101,branco
9,175,102,branco
9,173,103,branco
9,170,105,branco
9,168,106,branco
10,171,103,branco
10,162,107,branco
10,161,108,branco
10,159,106,branco
10,160,105,branco
10,162,104,branco
10,160,102,branco
10,158,103,branco
10,157,104,branco
10,161,100,branco
